,name,address,location,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max
0,パークシティ武蔵小山　ザ　タワー　,品川区小山３,東急目黒線/武蔵小山 徒歩1分,2020年4月,6750万円,2億6390万円,1LDK,3LDK,47.08,122.11
1,ザ・パークハウス オイコス 赤羽志茂,北区志茂３,東京メトロ南北線/志茂 徒歩6分,2019年3月,3900万円台,7500万円台,3LDK,4LDK,65.26,84.52
2,BrilliaCity 三鷹,練馬区関町南４,ＪＲ中央線/三鷹 バス10分 停歩2分,2019年11月,3900万円台,5400万円台,3LDK,3LDK,70.98,77.24
3,アトラス品川中延,品川区中延２,東急池上線/荏原中延 徒歩4分,2019年4月,4568万円,1億588万円,1LDK,4LDK,40.75,87.05
4,ラコント早稲田,新宿区早稲田鶴巻町512-8、9、10,東京メトロ東西線/早稲田 徒歩2分,2018年7月,3400万円台,8200万円台,1LDK,2LDK,30.09,60.88
5,アトラス中野南台,中野区南台３,東京メトロ丸ノ内線/中野富士見町 徒歩12分,2018年12月,3198万円,7298万円,1K,3LDK,32.49,73.73
6,リビオレゾン渋谷笹塚,渋谷区幡ヶ谷３,京王線/笹塚 徒歩10分,2018年9月,3500万円台,6100万円台,1LDK,1LDK,35.44,62.69
7,リビオレゾン東陽町ステーションプレミア,江東区東陽２,東京メトロ東西線/東陽町 徒歩3分,2019年3月,4990万円,6790万円,2LDK,2LDK,54.06,67.61
8,ピアース馬込,大田区中馬込２,都営浅草線/馬込 徒歩6分,2018年8月,2500万円台,4200万円台,1K,1LDK,25.04,41.7
9,ピアース南麻布,港区南麻布２,東京メトロ南北線/白金高輪 徒歩5分,2018年11月,3100万円台,7800万円台,1K,2LDK,22.33,57.29
10,ウエリス仙川調布の森,調布市入間町２,小田急線/成城学園前 バス5分 停歩4分,2019年2月,3600万円台,6400万円台,3LDK,3LDK,70.61,100.4
11,リビオ神楽坂,新宿区北山伏町,都営大江戸線/牛込柳町 徒歩5分,2019年2月,2800万円台,8900万円台,1K,3LDK,25,70.05
12,パークタワー晴海,中央区晴海２,東京メトロ有楽町線/月島 徒歩12分,2019年9月,4300万円台,1億7900万円台,1LDK,4LDK,42.53,121.16
13,パークホームズ吉祥寺北グランヴィラ,練馬区関町南３,ＪＲ中央線/吉祥寺 バス9分 停歩2分,2018年4月,4758万円,8798万円,2LDK,2LDK,60.62,92.6
14,パークホームズ田無 ザ ガーデン,西東京市田無町４,西武新宿線/田無 徒歩8分,2019年3月,3500万円台,6000万円台,2LDK,4LDK,55.83,78.17
15,ザ ブルームテラス,町田市小川字十号1564番2外,東急田園都市線/すずかけ台 徒歩10分,即入居可,3648万円,4158万円,3LDK,3LDK,73.2,75.64
16,ザ・パークハウス 花小金井ガーデン,小平市鈴木町２,ＪＲ中央線/武蔵小金井 バス7分 停歩4分,即入居可,3900万円台,5100万円台,2LDK,2LDK,62.26,80.09
17,グランドメゾン品川シーサイドの杜,品川区東品川４,りんかい線/品川シーサイド 徒歩3分,2020年1月,5350万円,8060万円,2LDK,3LDK,62.33,72.84
18,プラウドシティ越中島,江東区越中島２,東京メトロ東西線/門前仲町 徒歩11分,2019年3月,5679万円,8599万円,2LDK,4LDK,64.37,83.37
19,プラウド東陽町サウス,江東区東陽２,東京メトロ東西線/東陽町 徒歩4分,2018年6月,6389万円,7409万円,2LDK,2LDK,70.72,70.72
20,ザ・マジェスティコート 目黒,目黒区下目黒２,ＪＲ山手線/目黒 徒歩8分,2018年11月,3160万円,5790万円,1R,1R,27.79,48.54
21,パークホームズ文京小日向　ザ レジデンス,文京区小日向２,東京メトロ丸ノ内線/茗荷谷 徒歩7分,2018年3月,8230万円,1億2300万円,3LDK,3LDK,74.28,92.81
22,グランドメゾン江古田の杜,中野区江古田３,都営大江戸線/新江古田 徒歩10分,2018年3月,4960万円,6950万円,2LDK,3LDK,58.1,84.63
23,プラウド西葛西,江戸川区西葛西４,東京メトロ東西線/西葛西 徒歩8分,2019年3月,5199万円,1億89万円,2LDK+S,4LDK,70.56,100.09
24,蘆花公園 ザ・レジデンス,世田谷区粕谷２,京王線/芦花公園 徒歩6分,2018年3月,6598万円,7598万円,3LDK,3LDK,70.95,80.34
25,ルフォン久米川 武蔵野けやきの杜,東村山市栄町３,西武新宿線/久米川 徒歩8分,2017年12月,2900万円台,5500万円台,3LDK,4LDK,68.62,85.59
26,イニシア新宿早稲田,新宿区西早稲田１,東京メトロ東西線/早稲田 徒歩5分,2017年11月下旬,3768万円,3768万円,1DK,1DK,30.74,30.74
